"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Code Geass: Lelouch Of The Rebellion R2: The Complete 2nd Season","Bandai Entertainment",,"Discontinued","SUB","LBX, 16:9",49.98,"MA13","2008","Anime","1.78:1","669198803383",2012-02-07 00:00:00,221009,2012-01-14 00:00:00
"Code Geass: Lelouch Of The Rebellion: The Complete 1st Season (Anime Legends)","Bandai Entertainment",,"Discontinued","SUB","4:3",49.98,"MA13","2006","Anime","1.33:1","669198803376",2011-03-22 00:00:00,195675,2012-01-14 00:00:00
"Code Hunter (Fox)","Fox",,"Discontinued","2.0","4:3",9.98,"PG-13","2002","Action/Adventure","1.33:1","024543078074",2003-06-03 00:00:00,29086,2008-04-24 00:00:00
"Code Hunter (Velocity Home Entertainment)","Velocity Home Entertainment",,"Discontinued","2.0","4:3",24.98,"PG-13","2002","Action/Adventure","1.33:1","821575508155",2002-09-17 00:00:00,22481,2013-05-03 00:00:00
"Code Lyoko #1: Xana Unleashed","FUNimation",,"Discontinued","SUB","4:3",14.98,"NR","2003","Anime","1.33:1","704400057328",2005-09-20 00:00:00,62351,2011-04-24 00:00:00
"Code Lyoko #2: Movies, Music And Mayhem","FUNimation",,"Discontinued","SUB","4:3",14.98,"NR","2003","Anime","1.33:1","704400057342",2005-12-20 00:00:00,69318,2011-04-24 00:00:00
"Code Lyoko #3","FUNimation",,"Discontinued","SUB","4:3",14.98,"NR","2003","Anime","1.33:1","704400057366",2006-03-14 00:00:00,78031,2011-04-24 00:00:00
"Code Lyoko: 1st Season: The Complete 1st Season","FUNimation",,"Discontinued","SUB","4:3",29.98,"NR","2003","Anime","1.33:1","704400057427",2006-09-12 00:00:00,91438,2011-02-19 00:00:00
"Code Lyoko: 2nd Season, Vol. 1: Sector 5 Mystery","FUNimation",,"Discontinued","SUB","4:3",14.98,"NR","2004","Anime","1.33:1","704400057441",2006-11-28 00:00:00,98050,2011-04-24 00:00:00
"Code Monkeys: Season 1","Shout! Factory",,"Out","2.0","4:3",19.98,"NR","2007","TV Classics","1.33:1","826663109481",2008-08-05 00:00:00,137299,2012-06-23 00:00:00
"Code Name: Aida And Other Tales","Harmony Concepts",,"Out","2.0","4:3",29.95,"UR","2003","Late Night","1.33:1","825116012798",2006-11-21 00:00:00,99465,2009-05-22 00:00:00
"Code Name: Dancer","Trinity Home Entertainment",,"Discontinued","2.0","4:3",7.99,"PG","1987","Suspense/Thriller","1.33:1","692865269335",2007-01-02 00:00:00,107027,2013-11-11 00:00:00
"Code Name: Dancer (Old Version)","Trinity Home Entertainment",,"Discontinued","2.0","4:3",6.99,"PG","1987","Thriller","1.33:1","881273000122",2004-05-04 00:00:00,41098,2007-03-09 00:00:00
"Code Name: Emerald (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","LBX, 16:9",17.99,"PG","1985","War","1.85:1","883316276457",2010-10-19 00:00:00,204486,2013-05-07 00:00:00
"Code Name: Jaguar","Avalanche",,"Discontinued","SUB","4:3",14.98,"R","2000","Action/Adventure","1.33:1","057373153123",2001-02-20 00:00:00,9814,2012-11-09 00:00:00
"Code Name: The Cleaner (Alliance Atlantis)","Alliance Atlantis",,"Out","5.1/DTS","LBX, 16:9",13.95,"PG-13","2007","Comedy","1.85:1","065935802174",2007-04-24 00:00:00,207405,2011-06-01 00:00:00
"Code Name: The Cleaner (New Line)","New Line",,"Out","5.1/DTS","LBX, 16:9",12.97,"PG-13","2007","Comedy","1.85:1","794043107320",2007-04-24 00:00:00,104332,2011-06-01 00:00:00
"Code Name: Wild Geese","Mac Films",,"Discontinued","2.0","4:3",4.99,"R","1984","War","1.33:1","879431000251",2007-03-13 00:00:00,104094,2008-03-17 00:00:00
"Code Name: Wild Geese / Inside Man (1984/ Mac Films)","Mac Films",,"Discontinued","2.0","4:3",5.99,"NR","1984","VAR","1.33:1","879431000336",2007-03-13 00:00:00,104073,2009-01-22 00:00:00
"Code Name: Wolverine (MTI)","MTI",,"Discontinued","2.0","4:3",24.95,"R","1996","Action/Adventure","1.33:1","039414509106",2000-08-08 00:00:00,7351,2003-12-30 00:00:00
"Code Name: Wolverine (Platinum)","Platinum",,"Discontinued","2.0","4:3",6.99,"R","1996","Action/Adventure","1.33:1","096009041991",1999-06-22 00:00:00,24458,2006-01-29 00:00:00
"Code Name: Wolverine (Trinity Home Entertainment)","Trinity Home Entertainment",,"Discontinued","2.0","4:3",24.95,"R","1996","Action/Adventure","1.33:1","804868709101",2000-01-01 00:00:00,55481,2004-11-24 00:00:00
"Code Name: Zebra","Platinum",,"Discontinued","2.0","4:3",3.99,"NR","1984","Action/Adventure","1.33:1","096009009397",2001-01-30 00:00:00,51265,2013-06-08 00:00:00
"Code Of Ethics","Leo Films",,"Discontinued","2.0","4:3",19.95,"NR","1999","Mystery/Suspense","1.33:1","677880101198",2000-08-29 00:00:00,7830,2004-10-12 00:00:00
"Code Of Honor (Special Edition)","Tai Seng",,"Discontinued","DUB","LBX",14.95,"NR","1987","Action/Adventure","1.85:1","601641109345",2002-08-27 00:00:00,18719,2013-11-27 00:00:00
"Code Of Samurai","Yamazato Products",,"Discontinued","2.0","4:3",19.95,"NR","UNK","Special Interest","1.33:1","692126013899",2003-03-25 00:00:00,26830,2007-10-15 00:00:00
"Code Of Silence (Diamond Entertainment) / Hero & The Terror","Diamond Entertainment",,"Discontinued","2.0","LBX, 16:9",15.98,"R","VAR","Action/Adventure","1.85:1","011891700108",2010-04-27 00:00:00,188861,2011-12-17 00:00:00
"Code Of Silence (Garr Group) / Hero And The Terror","Garr Group",,"Out","2.0","LBX, 16:9",15.98,"R","VAR","Action/Adventure","1.85:1","118917001086",2010-04-27 00:00:00,181563,2010-04-29 00:00:00
"Code Of Silence (MGM/UA)","MGM/UA",,"Discontinued","1.0","4:3 P&S, LBX, 16:9",14.98,"R","1985","Action/Adventure","1.85:1","027616854766",2000-11-21 00:00:00,8074,2014-07-03 00:00:00
"Code Of Silence (MGM/UA/ Blu-ray)","MGM/UA",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",16.99,"R","1985","Action/Adventure","1.85:1","883904268024",2012-07-17 00:00:00,227680,2012-08-26 00:00:00
"Code Of The Cactus","A2ZCDS",,"Discontinued","2.0","4:3",19.95,"NR","1939","Western","1.33:1","882012600122",2005-04-01 00:00:00,71207,2011-01-15 00:00:00
"Code Of The Rangers (Alpha Video)","Alpha Video",,"Out","2.0","4:3",7.98,"NR","1938","Western","1.33:1","089218665591",2011-11-01 00:00:00,217923,2011-11-01 00:00:00
"Code Of The Rangers (Sinister Cinema)","Sinister Cinema",,"Out","2.0","4:3",11.95,"NR","1938","Western","1.33:1","883629666556",2008-11-20 00:00:00,153238,2011-10-22 00:00:00
"Code Of The Red Man","Alpha Video",,"Out","2.0","4:3",4.98,"NR","1942","Western","1.33:1","089218535092",2007-05-29 00:00:00,110541,2014-07-05 00:00:00
"Code Of The Saddle","Alpha Video",,"Discontinued","1.0","4:3",7.98,"NR","1947","Western","1.33:1","089218496096",2006-02-28 00:00:00,78777,2014-06-30 00:00:00
"Code Of The Sea","Grapevine Video",,"Out","SIL","4:3",17.98,"NR","1924","Silent","1.33:1","842614105463",2013-04-09 00:00:00,245139,2013-04-09 00:00:00
"Code Of The Templars (Das Blut Der Templer)","Silver Nitrate Entertainment",,"Discontinued","2.0","LBX",22.95,"NR","2004","Foreign","1.85:1","796019795593",2006-10-17 00:00:00,90610,2009-11-19 00:00:00
"Code Of The West","Lions Gate",,"Discontinued","2.0","4:3",9.98,"NR","1947","Western","1.33:1","012236187936",2006-02-07 00:00:00,78437,2011-10-15 00:00:00
"Code Red","E1 Entertainment",,"Out","2.0","LBX, 16:9",19.98,"NR","2013","Horror","1.85:1","741952756699",2014-02-04 00:00:00,256491,2014-02-06 00:00:00
"Code Red: Miseducation Of The Bloods, Vol. 2","Tapeman",,"Out","2.0","4:3",14.95,"NR","2013","Documentary","1.33:1","094922455109",2013-10-15 00:00:00,251528,2013-10-15 00:00:00
"Code Red: The Miseducation Of The Bloods","Tapeman",,"Discontinued","2.0","4:3",19.95,"NR","UNK","Documentary","1.33:1","094922159236",2008-12-16 00:00:00,148524,2014-09-30 00:00:00
"Code Two (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",19.99,"NR","1953","Drama","1.33:1","883316685884",2013-01-08 00:00:00,263195,2015-02-25 00:00:00
"Code Unknown (Criterion Collection)","Criterion Collection",2015-11-10 00:00:00,"Pending","SUB","LBX, 16:9",29.95,"NR","2000","Foreign","1.85:1","715515161114",2015-11-10 00:00:00,283045,2015-08-20 00:00:00
"Code Unknown (Criterion Collection/ Blu-ray)","Criterion Collection",2015-11-10 00:00:00,"Pending","SUB","LBX, 16:9, BLU-RAY",39.95,"NR","2000","Foreign","1.85:1","715515161015",2015-11-10 00:00:00,283054,2015-08-20 00:00:00
"Code Unknown (Kino)","Kino",,"Out","2.0","LBX",29.95,"NR","2000","Drama","1.85:1","738329025120",2002-08-06 00:00:00,18688,2015-08-20 00:00:00
"Code: Black","York Entertainment",,"Discontinued","2.0","4:3",19.99,"NR","2007","Action/Adventure","1.33:1","750723145228",2008-04-22 00:00:00,130228,2010-12-09 00:00:00
"Code: Breaker: Complete Series (DVD & Blu-ray Combo)","FUNimation",,"Out","SUB","LBX, 16:9, BLU-RAY",64.98,"MA13","2012","Anime","1.85:1","704400015915",2014-06-24 00:00:00,261822,2014-06-27 00:00:00
