"DVD_Title","Studio","Released","Status","Sound","Versions","Price","Rating","Year","Genre","Aspect","UPC","DVD_ReleaseDate","ID","Timestamp"
"Coming To America (Paramount/ Special Collector's Edition/ Blu-ray) / Trading Places (Blu-ray) (Back-To-Back/ Old Version)","Paramount",,"Discontinued","5.1","LBX, 16:9, BLU-RAY",36.99,"R","VAR","Comedy","1.85:1","032429056443",2008-12-30 00:00:00,149708,2012-12-27 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ Blu-ray) / Trading Places (Blu-ray) (Side-By-Side)","Paramount",,"Discontinued","5.1","LBX, 16:9, BLU-RAY",36.99,"R","VAR","Comedy","1.85:1","032429056450",2008-12-30 00:00:00,149668,2012-12-27 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ Blu-ray) / Trading Places (Special Collector's Edition/ Blu-ray)","Paramount",,"Discontinued","VAR","LBX, 16:9, BLU-RAY",29.99,"R","VAR","Comedy","1.85:1","032429080929",2010-05-18 00:00:00,177618,2012-12-27 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ Blu-ray/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9, BLU-RAY",14.99,"R","1988","Comedy","1.85:1","097361246123",2007-06-05 00:00:00,240649,2013-01-07 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",6.99,"R","1988","Comedy","1.85:1","097361222929",2007-06-05 00:00:00,123996,2013-01-07 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ DVD/Combo)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"R","1988","Comedy","1.85:1","097361383644",2009-02-03 00:00:00,149478,2012-12-27 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ DVD/Combo/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9",14.99,"R","1988","Comedy","1.85:1","097361383620",2009-02-03 00:00:00,149553,2013-01-07 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ HD-DVD)","Paramount",,"Discontinued","5.1","LBX, 16:9, HD-DVD",29.99,"R","1988","Comedy","1.85:1","097361246246",2007-06-05 00:00:00,106964,2012-12-27 00:00:00
"Coming To America (Paramount/ Special Collector's Edition/ HD-DVD/ Checkpoint)","Paramount",,"Discontinued","5.1","LBX, 16:9, HD-DVD",29.99,"R","1988","Comedy","1.85:1","097361246222",2007-06-05 00:00:00,240360,2013-01-07 00:00:00
"Coming To America (Warner Brothers)","Warner Brothers",,"Out","5.1","LBX, 16:9",5.97,"R","1988","Comedy","1.85:1","883929303571",2013-01-08 00:00:00,239035,2013-01-08 00:00:00
"Coming To America (Warner Brothers) / Trading Place","Warner Brothers",,"Out","5.1","LBX, 16:9",12.97,"R","VAR","Comedy","1.85:1","883929322091",2013-02-12 00:00:00,272726,2014-11-07 00:00:00
"Coming To America (Warner Brothers/ Blu-ray)","Warner Brothers",,"Out","5.1","LBX, 16:9, BLU-RAY",14.97,"R","1988","Comedy","1.85:1","883929301577",2013-01-08 00:00:00,239024,2013-01-08 00:00:00
"Coming To The Stage","Tapeworm",,"Discontinued","2.0","4:3",19.95,"NR","UNK","Comedy","1.33:1","820831000198",2004-01-06 00:00:00,34917,2005-12-24 00:00:00
"Coming Together (Films For the Humanities ...)","Films for the Humanities ...",,"Discontinued","2.0","4:3",99.95,"NR","UNK","Special Interest","1.33:1","9786313027323",2009-06-09 00:00:00,208140,2011-07-01 00:00:00
"Coming Together (Trafalgar Square)","Trafalgar Square",,"Out","2.0","4:3",39.95,"NR","UNK","Special Interest","1.33:1","802123762915",2005-05-17 00:00:00,65742,2005-05-20 00:00:00
"Coming Together (Wolfe)","Wolfe",,"Out","2.0","4:3",24.95,"UR","UNK","Late Night","1.33:1","743271013996",2001-06-26 00:00:00,11029,2006-02-12 00:00:00
"Coming Together: Use Body Language To Establish Leadership, Friendship, And Trust","Trafalgar Square",,"Out","2.0","4:3",39.95,"NR","2004","Special Interest","1.33:1","9781570762918",2004-10-30 00:00:00,191891,2010-10-28 00:00:00
"Coming Transition","MorningStar Ministries",,"Out","2.0","4:3",34.99,"NR","UNK","Special Interest","1.33:1","9781599330198",2007-02-25 00:00:00,146981,2008-10-12 00:00:00
"Coming Up Roses","Indican Pictures",,"Out","2.0","LBX, 16:9",24.99,"NR","2011","Drama","1.85:1","825284201673",2014-11-11 00:00:00,269542,2014-12-08 00:00:00
"Coming With My Brother!","Pathfinder",,"Discontinued","SUB","LBX, 16:9",24.98,"NR","2006","Foreign","1.85:1","825307931396",2014-05-06 00:00:00,259068,2014-08-15 00:00:00
"Comisario Ejidal","JC Films",,"Out","2.0","4:3",12.95,"NR","UNK","Foreign","1.33:1","012108501730",2005-09-20 00:00:00,72875,2005-09-21 00:00:00
"Comisario Ejidal (En Espanol)","JC Films",,"Discontinued","2.0","4:3",12.95,"NR","UNK","Foreign","1.33:1","612108501763",2005-09-20 00:00:00,73941,2006-10-25 00:00:00
"Comisario En Turno (Sheriff On Duty)","Studio Latino",,"Discontinued","2.0","4:3",14.95,"NR","1949","Drama","1.33:1","634991198820",2005-07-19 00:00:00,63776,2006-09-01 00:00:00
"Comisario En Turno / Se La Llevo El Remington","Medialink",,"Out","2.0","4:3",9.98,"NR","VAR","Foreign","1.33:1","899485001226",2008-04-01 00:00:00,129377,2008-02-01 00:00:00
"Command (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",17.99,"NR","1954","Western","1.37:1","883316127100",2009-03-23 00:00:00,200527,2013-05-07 00:00:00
"Command Course Basic Series","First Light Video",,"Out","2.0","4:3",749,"NR","UNK","Special Interest","1.33:1","709629099777",2011-06-28 00:00:00,209317,2011-06-28 00:00:00
"Command Course PLUS Series","First Light Video",,"Out","2.0","4:3",1499,"NR","UNK","Special Interest","1.33:1","709629099784",2011-06-28 00:00:00,209326,2011-06-28 00:00:00
"Command Decision","Warner Brothers",,"Discontinued","2.0","4:3",19.97,"NR","1948","War","1.33:1","012569797048",2007-06-05 00:00:00,106095,2011-06-16 00:00:00
"Command Decision (Archive Collection/ On Demand DVD-R)","Warner Brothers Digital Dist.",,"Out","2.0","4:3",21.99,"NR","1948","War","1.33:1","883316734476",2013-04-30 00:00:00,262389,2014-03-30 00:00:00
"Command Performance (1931)","Alpha Video",,"Out","2.0","4:3",7.98,"NR","1931","Drama","1.33:1","089218730794",2014-02-25 00:00:00,260540,2014-03-02 00:00:00
"Command Performance (2009)","First Look",,"Out","5.1","LBX, 16:9",9.98,"R","2009","Action/Adventure","2.35:1","687797128799",2009-11-03 00:00:00,165896,2014-03-02 00:00:00
"Command Performance (2009/ Blu-ray)","First Look",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",19.98,"R","2009","Action/Adventure","2.35:1","687797128768",2009-11-03 00:00:00,165899,2014-03-02 00:00:00
"Command Performance (2009/ Blu-ray) / Direct Contact (Blu-ray)","First Look",,"Out","5.1 TRUEHD","LBX, 16:9, BLU-RAY",19.99,"R","2009","Action/Adventure","VAR","634991358262",2011-04-19 00:00:00,196828,2014-03-02 00:00:00
"Commander Cody: All The Way Live From Turkey Trot (DVD/CD Combo/ Limited Edition)","Fa-Ka-Wee Productions",,"Out","2.0","4:3",24.49,"NR","UNK","Music","1.33:1","634479058806",2005-07-12 00:00:00,129999,2008-01-28 00:00:00
"Commander Cody: From The Front Row: Live! (Audio-Only DVD)","Silverline",,"Discontinued","2.0","4:3",19.98,"NR","UNK","Music","1.33:1","676628817292",2003-05-13 00:00:00,118935,2011-04-03 00:00:00
"Commander Cody: King Biscuit Flower Hour Presents (Audio-Only DVD)","5.1 Entertainment",,"Discontinued","2.0","4:3",18.98,"NR","UNK","Music","1.33:1","676628814499",2003-03-11 00:00:00,229064,2012-06-08 00:00:00
"Commander Cody: Rockpalast","SPV Records",,"Out","2.0","4:3",10.99,"NR","UNK","Music","1.33:1","693723002675",2009-04-21 00:00:00,157390,2014-06-22 00:00:00
"Commander Courage In The Fire Station Adventure","Big Kids Productions",,"Discontinued","2.0","4:3",14.95,"NR","UNK","Family","1.33:1","9786309789006",2005-10-18 00:00:00,162967,2015-04-11 00:00:00
"Commander Hamilton","Entertainment Distributing",,"Discontinued","2.0","4:3",7.98,"NR","1998","Action/Adventure","1.33:1","011301680730",2008-01-08 00:00:00,124366,2014-06-30 00:00:00
"Commander In Chief: Season 1 (The Inaugural Edition), Part 1","Buena Vista",,"Out","2.0","4:3",19.99,"NR","2005","TV Classics","1.33:1","786936704105",2006-06-27 00:00:00,85457,2015-06-15 00:00:00
"Commander In Chief: Season 1 (The Inaugural Edition), Part 2","Buena Vista",,"Out","2.0","4:3",19.99,"NR","2005","TV Classics","1.33:1","786936719543",2006-09-05 00:00:00,87831,2015-06-15 00:00:00
"Commander-In-Chief","Discovery Education",,"Out","2.0","4:3",129.95,"NR","UNK","Special Interest","1.33:1","9786313561599",2010-03-09 00:00:00,178112,2010-03-09 00:00:00
"Commander: Set 1","Acorn Media",,"Out","2.0","LBX, 16:9",59.99,"NR","VAR","Mystery/Suspense","1.85:1","054961810994",2008-11-11 00:00:00,139887,2012-01-14 00:00:00
"Commander: Set 2","Acorn Media",,"Out","2.0","LBX, 16:9",49.99,"NR","VAR","Mystery/Suspense","1.85:1","054961873494",2012-04-03 00:00:00,221969,2012-04-03 00:00:00
"Commanders-In-Chief: 6 Presidential Documentaries (6-Disc)","Mill Creek Entertainment",,"Out","2.0","4:3",29.98,"NR","VAR","Documentary","1.33:1","683904891914",2014-05-20 00:00:00,262382,2014-05-20 00:00:00
"Commanding Heights: New Rules Of The Game","WGBH",,"Out","2.0","4:3",19.95,"NR","UNK","Documentary","1.33:1","783421362895",2004-07-20 00:00:00,47389,2004-07-14 00:00:00
"Commanding Heights: The Agony Of Reform","WGBH",,"Out","2.0","4:3",19.95,"NR","UNK","Documentary","1.33:1","783421362796",2004-07-20 00:00:00,47382,2004-07-14 00:00:00
"Commanding Heights: The Battle For The World Economy","WGBH",,"Discontinued","1.0","4:3",39.95,"NR","2002","Documentary","1.33:1","783421362598",2002-07-30 00:00:00,27000,2013-02-20 00:00:00
"Commanding Heights: The Battle For The World Economy (Book w/ DVD)","WGBH",,"Discontinued","2.0","4:3",47,"NR","2002","Special Interest","1.33:1","9781578079612",2002-07-30 00:00:00,217649,2011-10-16 00:00:00
"Commanding Heights: The Battle Of Reform","WGBH",,"Out","2.0","4:3",19.95,"NR","UNK","Documentary","1.33:1","783421362697",2004-07-20 00:00:00,47368,2004-07-14 00:00:00
"Commandments","Universal",,"Out","2.0","LBX, 16:9",14.98,"R","1997","Comedy/Drama","1.78:1","025192619120",2004-11-23 00:00:00,50951,2014-03-12 00:00:00
"Commandments Of R&B Drumming Video: DVD Collection","Warner Music",,"Out","2.0","4:3",19.95,"NR","UNK","Special Interest","1.33:1","654979031857",2003-02-24 00:00:00,54079,2010-11-05 00:00:00
"Commando (1985)","Fox",,"Out","2.0","LBX",6.98,"R","1985","Action/Adventure","1.85:1","024543029779",2007-02-06 00:00:00,202801,2014-08-19 00:00:00
"Commando (1985/ Blu-ray)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",11.99,"R","1985","Action/Adventure","1.85:1","024543414223",2008-04-15 00:00:00,98348,2014-08-19 00:00:00
"Commando (1985/ Blu-ray) / Predator (Widescreen/ Blu-ray) (Back-To-Back)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",34.98,"R","VAR","VAR","1.85:1","024543605423",2009-05-24 00:00:00,159785,2009-05-19 00:00:00
"Commando (1985/ Blu-ray) / Predator (Widescreen/ Blu-ray) (Side-By-Side)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",34.98,"R","VAR","VAR","1.85:1","024543601210",2009-05-24 00:00:00,159798,2009-05-19 00:00:00
"Commando (1985/ Director's Cut)","Fox",,"Discontinued","5.1","LBX, 16:9",19.98,"R","1985","Action/Adventure","1.85:1","024543440796",2007-09-18 00:00:00,113640,2014-11-05 00:00:00
"Commando (1985/ DVD & Blu-ray Combo)","Fox",,"Out","5.1 DTS-HD","LBX, 16:9, BLU-RAY",11.99,"R","1985","Action/Adventure","1.85:1","024543671855",2010-04-06 00:00:00,179387,2014-08-19 00:00:00
"Commando (1985/ Old Version)","Fox",,"Discontinued","SUR","LBX",9.98,"R","1985","Action/Adventure","1.85:1","086162104244",1999-05-25 00:00:00,1314,2011-03-29 00:00:00
"Commando (1985/ Old Version) / The Marine","Fox",,"Out","5.1","VAR",14.98,"VAR","VAR","Action/Adventure","1.85:1","024543674627",2010-06-01 00:00:00,181300,2011-03-29 00:00:00
"Commando (1988)","Shemaroo",,"Discontinued","2.0","4:3",17.98,"NR","1988","Foreign","1.33:1","8904036803425",2007-12-26 00:00:00,128029,2012-10-25 00:00:00
"Commando Cody Vs. The Moon Menace (Feature Version Of 'Radar Men From The Moon')","Alpha Video",,"Out","2.0","4:3",7.98,"NR","1952","SciFi","1.33:1","089218749093",2014-09-30 00:00:00,271769,2014-10-14 00:00:00
"Commando TNT: Tantos No Tardos","BCI Eclipse / Brentwood",,"Discontinued","2.0","4:3",12.98,"NR","UNK","Foreign","1.33:1","787364808991",2008-07-08 00:00:00,136670,2009-02-01 00:00:00
"Commando Zorras (Slut Commando)","DistriMax",,"Discontinued","SUB","4:3",5.99,"UR","2006","Foreign","1.33:1","876122000477",2007-04-24 00:00:00,99751,2014-12-06 00:00:00
"Commando Zorras (Slut Commando) / Viva La Risa (Mirth Madness) (Double Feature)","DistriMax",,"Out","2.0","4:3",6.96,"NR","VAR","Foreign","1.33:1","876122001313",2009-01-06 00:00:00,152114,2014-12-06 00:00:00
"Commando: Special Elite Forces (3-Disc)","Madacy",,"Discontinued","2.0","4:3",14.98,"NR","VAR","Documentary","1.33:1","628261037490",2006-12-05 00:00:00,99542,2009-08-28 00:00:00
"Commandos (Digiview Entertainment)","Digiview Entertainment",,"Out","2.0","4:3",5.99,"PG-13","1968","War","1.33:1","872322004031",2004-01-01 00:00:00,87553,2006-05-21 00:00:00
"Commandos (Essex)","Essex",,"Discontinued","2.0","4:3",12.99,"PG","1968","War","1.33:1","045961100925",1997-10-03 00:00:00,1315,2006-02-26 00:00:00
"Commandos (St. Clair Entertainment)","St. Clair Entertainment",,"Discontinued","2.0","4:3",4.99,"PG","1968","War","1.33:1","777966843391",2004-03-30 00:00:00,43857,2006-05-11 00:00:00
"Commandos Strike At Dawn","Columbia/Tri-Star",,"Discontinued","1.0","4:3",14.99,"NR","1942","War","1.33:1","043396100497",2003-05-13 00:00:00,26370,2013-08-02 00:00:00
"Commandos: Elite Special Forces: Attack On Terrorism, Vol. 1 - 3: Badges Without Borders / ...","Madacy",,"Discontinued","2.0","4:3",14.98,"NR","UNK","Documentary","1.33:1","628261016396",2005-02-15 00:00:00,57826,2007-08-31 00:00:00
"Commandos: Elite Special Forces: Attack On Terrorism, Vol. 1 - 3: Badges Without Borders / ... (Old Version)","Madacy",,"Discontinued","2.0","4:3",19.98,"NR","UNK","Documentary","1.33:1","056775077990",2001-11-06 00:00:00,15109,2009-11-03 00:00:00
"Commandos: Elite Special Forces: Attack On Terrorism, Vol. 1: Badges Without Borders","Madacy",,"Discontinued","2.0","4:3",7.98,"NR","UNK","Documentary","1.33:1","056775078096",2002-03-25 00:00:00,30513,2006-03-20 00:00:00
"Commandos: Elite Special Forces: Attack On Terrorism, Vol. 2: The Global Fight Against Terrorism","Madacy",,"Discontinued","2.0","4:3",7.98,"NR","UNK","Documentary","1.33:1","056775078195",2002-03-25 00:00:00,52491,2006-03-20 00:00:00
"Commandos: Elite Special Forces: Attack On Terrorism, Vol. 3: Law Enforcement Against Terrorism","Madacy",,"Discontinued","2.0","4:3",7.98,"NR","UNK","Documentary","1.33:1","056775078294",2002-03-25 00:00:00,52493,2006-03-20 00:00:00
"Commas And Semicolons","Sunburst Visual Media",,"Out","2.0","4:3",39.95,"NR","2001","Special Interest","1.33:1","9786312798897",2009-02-17 00:00:00,154694,2009-02-13 00:00:00
"Commas And Semicolons Video Quiz","Sunburst Visual Media",,"Out","2.0","4:3",39.95,"NR","2009","Special Interest","1.33:1","743452441129",2009-02-17 00:00:00,193146,2010-11-09 00:00:00
"Comme Les Oiseaux","Video Artists",,"Out","2.0","4:3",24.95,"NR","1993","Documentary","1.33:1","089948449393",2009-06-09 00:00:00,157502,2009-05-13 00:00:00
"Commedia Dell'Arte: The Story, The Style","Films for the Humanities ...",,"Discontinued","2.0","4:3",179.95,"NR","UNK","Special Interest","1.33:1","9786313444489",2010-01-05 00:00:00,207939,2013-05-14 00:00:00
"Commemorative Ernest Borgnine Double Feature: Castle Rock / The Trackers","Echo Bridge",,"Out","2.0","4:3",6.99,"NR","VAR","Family","1.33:1","096009106140",2012-08-07 00:00:00,231070,2012-08-07 00:00:00
"Commendable Customer Service","Films for the Humanities ...",,"Discontinued","2.0","4:3",99.95,"NR","UNK","Special Interest","1.33:1","9780736575072",2007-04-17 00:00:00,208026,2011-06-04 00:00:00
"Comment Ca Va?","Olive Films",,"Out","SUB","4:3",24.95,"NR","1978","Foreign","1.33:1","887090032001",2013-06-25 00:00:00,246811,2013-06-25 00:00:00
"Comment Ca Va? (Blu-ray)","Olive Films",,"Out","SUB","4:3, BLU-RAY",29.95,"NR","1978","Foreign","1.33:1","887090065504",2013-06-25 00:00:00,246775,2013-06-25 00:00:00
"Comment Ma Mere Accoucha De Moi (How My Mother Gave Birth To Me During Menopause)","Tevica",,"Out","SUB","4:3",14.95,"NR","2003","Foreign","1.33:1","065935148289",2005-08-15 00:00:00,118867,2007-08-21 00:00:00
"Commercial Design Using AutoCAD 2010 (Book w/ DVD)","Schroff Development Corp.",,"Discontinued","2.0","4:3",59.95,"NR","2009","Special Interest","1.33:1","9781585035038",2009-04-24 00:00:00,233739,2013-07-14 00:00:00
"Commercial Design Using AutoCAD 2013 (Book w/ DVD)","Schroff Development Corp.",,"Out","2.0","4:3",75,"NR","2012","Special Interest","1.33:1","9781585037186",2012-07-02 00:00:00,240779,2013-01-09 00:00:00
"Commercial Design Using Autodesk Revit Architecture 2010 (Book w/ DVD)","Schroff Development Corp.",,"Out","2.0","4:3",59.95,"NR","2009","Special Interest","1.33:1","9781585035120",2009-06-23 00:00:00,233712,2012-08-31 00:00:00
"Commercial Design Using Autodesk Revit Architecture 2011 (Book w/ DVD)","Schroff Development Corp.",,"Out","2.0","4:3",59.95,"NR","2010","Special Interest","1.33:1","9781585035618",2010-06-10 00:00:00,233763,2012-08-31 00:00:00
"Commercial Design Using Autodesk Revit Architecture 2013 (Book w/ DVD)","Schroff Development Corp.",,"Out","2.0","4:3",75,"NR","2012","Special Interest","1.33:1","9781585037353",2012-05-07 00:00:00,228104,2012-05-13 00:00:00
"Commercial Design Using Revit Architecture 2012 (Book w/ DVD)","Schroff Development Corp.",,"Out","2.0","4:3",75,"NR","2011","Special Interest","1.33:1","9781585036752",2011-05-18 00:00:00,217214,2011-10-08 00:00:00
"Commercial Real Estate Lawyer's Job: A Survival Guide (Book w/ DVD)","American Bar Association",,"Out","2.0","4:3",89.95,"NR","2009","Special Interest","1.33:1","9781604424812",2010-07-01 00:00:00,191149,2010-10-11 00:00:00
"Commish (Anchor Bay): Best Of Season 1","Anchor Bay",,"Discontinued","2.0","4:3",14.98,"NR","1991","TV Classics","1.33:1","013131325690",2005-05-17 00:00:00,61770,2013-05-03 00:00:00
"Commish (Anchor Bay): Season 1","Anchor Bay",,"Discontinued","2.0","4:3",59.98,"NR","1991","TV Classics","1.33:1","013131280593",2004-11-16 00:00:00,48156,2013-05-03 00:00:00
"Commish (Anchor Bay): Season 2","Anchor Bay",,"Discontinued","2.0","4:3",59.98,"NR","1992","TV Classics","1.33:1","013131281194",2005-02-22 00:00:00,56677,2011-01-19 00:00:00
"Commish (Mill Creek Entertainment): The Complete 1st & 2nd Seasons: The Complete Series","Mill Creek Entertainment",,"Discontinued","2.0","4:3",69.98,"NR","VAR","TV Classics","1.33:1","826831070933",2010-10-12 00:00:00,188794,2015-07-24 00:00:00
"Commish (Mill Creek Entertainment): The Complete 1st Season","Mill Creek Entertainment",,"Out","2.0","4:3",14.98,"NR","1991","TV Classics","1.33:1","683904508799",2010-03-09 00:00:00,176543,2010-03-09 00:00:00
"Commish (Mill Creek Entertainment): The Complete 2nd Season","Mill Creek Entertainment",,"Discontinued","2.0","4:3",14.98,"NR","1992","TV Classics","1.33:1","683904508898",2010-09-14 00:00:00,188783,2011-12-21 00:00:00
"Commissar","Kino",,"Out","SUB","LBX",29.95,"NR","1967","Foreign","2.35:1","738329049225",2007-03-06 00:00:00,101939,2006-12-14 00:00:00
"Commissioned In Concert","Xenon",,"Out","2.0","4:3",6.98,"NR","UNK","Music","1.33:1","000799800829",2007-11-13 00:00:00,118660,2010-04-08 00:00:00
"Commissioned: Matters Of The Heart","Verity Records",,"Discontinued","2.0","4:3",11.98,"NR","UNK","Music","1.33:1","012414308993",2007-01-30 00:00:00,102329,2013-06-24 00:00:00
"Commissioned: The Commissioned Reunion: Live","BMG Music",,"Out","2.0","4:3",13.98,"NR","UNK","Music","1.33:1","012414319098",2002-04-23 00:00:00,17147,2009-07-29 00:00:00
"Commit","Vanguard",,"Out","2.0","LBX, 16:9",19.95,"NR","2007","Comedy","1.85:1","658769115437",2011-11-22 00:00:00,213684,2011-11-23 00:00:00
"Commitment (2004)","Tokyo Shock",,"Out","SUB","LBX, 16:9",19.98,"R","2004","Foreign","1.85:1","631595063783",2006-09-19 00:00:00,88813,2013-12-16 00:00:00
"Commitment (2004) / The Unborn","Tokyo Shock",,"Out","SUB","LBX, 16:9",19.98,"R","VAR","Foreign","1.85:1","631595083880",2008-10-28 00:00:00,141554,2013-12-16 00:00:00
"Commitment (2013)","Well Go USA",,"Out","SUB","LBX, 16:9",24.98,"NR","2013","Foreign","1.85:1","812491015001",2014-03-11 00:00:00,257067,2014-03-11 00:00:00
"Commitment (2013/ Blu-ray)","Well Go USA",,"Out","SUB","LBX, 16:9, BLU-RAY",29.98,"NR","2013","Foreign","1.85:1","812491015018",2014-03-11 00:00:00,257096,2014-03-11 00:00:00
"Commitment: My Heart, Christ's Home","CustomFlix",,"Out","2.0","4:3",14.99,"NR","UNK","Special Interest","1.33:1","883629026527",2006-05-24 00:00:00,95530,2006-09-30 00:00:00
"Commitments (1991) / The Full Monty","Fox",,"Discontinued","SUR","VAR",14.98,"R","VAR","Comedy","VAR","024543753810",2011-07-05 00:00:00,206891,2011-12-03 00:00:00
"Commitments (1991) / The Full Monty (Old Version)","Fox",,"Discontinued","SUR","VAR",14.98,"R","VAR","Comedy","VAR","024543656562",2010-03-02 00:00:00,176004,2011-12-16 00:00:00
"Commitments (1991/ 2-Disc Collector's Edition)","Fox",,"Discontinued","5.1","LBX, 16:9",26.98,"R","1991","Drama","1.85:1","024543112990",2004-03-16 00:00:00,37803,2011-09-09 00:00:00
"Commitments (1991/ Old Version)","Fox",,"Discontinued","SUR","4:3",9.98,"R","1991","Comedy","1.33:1","086162128929",1999-11-02 00:00:00,1316,2011-09-06 00:00:00
"Commitments (2001)","UrbanWorks",,"Discontinued","2.0","4:3",14.98,"NR","2001","Drama","1.33:1","634991127929",2002-08-20 00:00:00,19145,2006-08-28 00:00:00
"Committed (1984)","First Run Features",,"Out","2.0","LBX, 16:9",24.95,"NR","1984","Drama","1.85:1","720229916608",2015-07-21 00:00:00,278934,2015-07-21 00:00:00
"Committed (2000/ Miramax Echo Bridge)","Miramax Echo Bridge",,"Discontinued","5.1","LBX, 16:9",6.99,"R","2000","Comedy","1.85:1","096009777692",2012-01-10 00:00:00,218586,2015-04-21 00:00:00
"Committed (2000/ Miramax Echo Bridge/ Blu-ray)","Miramax Echo Bridge",,"Out","5.1","LBX, 16:9, BLU-RAY",14.99,"R","2000","Comedy","1.85:1","096009035914",2013-05-07 00:00:00,243573,2015-04-21 00:00:00
"Committed (2000/ Miramax Lions Gate)","Miramax Lions Gate",,"Cancelled","5.1","LBX, 16:9",14.98,"R","2000","Comedy","1.85:1","031398137337",2011-04-19 00:00:00,202803,2015-04-21 00:00:00
"Committed (2000/ Miramax)","Miramax",,"Discontinued","5.1","LBX, 16:9",9.99,"R","2000","Comedy","1.85:1","717951004710",2001-10-02 00:00:00,8273,2015-04-21 00:00:00
"Committed In Error: The Mental Health System Gone Mad","Films for the Humanities ...",,"Discontinued","2.0","4:3",169.95,"NR","UNK","Special Interest","1.33:1","9781421362397",2007-05-22 00:00:00,207711,2011-06-04 00:00:00
"Committed To Christ: DVD: Six Steps To A Generous Life","Abingdon Press",,"Out","2.0","4:3",29.99,"NR","2012","Special Interest","1.33:1","9781426743559",2012-05-01 00:00:00,217992,2014-01-14 00:00:00
"Committed To Christ: Six Steps To A Generous Life (Book w/ DVD)","Abingdon Press",,"Out","2.0","4:3",79.99,"NR","2012","Special Interest","1.33:1","9781426777967",2012-05-01 00:00:00,271352,2014-10-02 00:00:00
"Committee","Eclectic DVD Distribution",,"Out","2.0","4:3",14.95,"NR","1968","Comedy","1.33:1","022891205692",2005-09-13 00:00:00,68791,2010-09-22 00:00:00
"Committing Poetry In Times Of War","Reality Entertainment",,"Discontinued","2.0","4:3",24.95,"NR","2007","Documentary","1.33:1","883629826813",2009-04-28 00:00:00,154479,2015-02-06 00:00:00
"Commodities","Marketplace Books",,"Out","2.0","4:3",79.95,"NR","UNK","Special Interest","1.33:1","876490001847",2005-11-01 00:00:00,160046,2009-04-30 00:00:00
"Commodores: 20th Century Masters: Best Of DVD Collection","Universal Music & Video",,"Discontinued","2.0","4:3",7.98,"NR","2004","Music","1.33:1","602498622810",2004-08-03 00:00:00,47183,2010-07-10 00:00:00
"Commodores: 20th Century Masters: Best Of DVD Collection (Limited Edition)","Universal Music & Video",,"Discontinued","2.0","4:3",7.98,"NR","2004","Music","1.33:1","602498622827",2004-08-03 00:00:00,47117,2012-09-21 00:00:00
"Commodores: Live!","Unidisc",,"Out","2.0","4:3",24.95,"NR","UNK","Music","1.33:1","068381550156",2006-07-25 00:00:00,90603,2014-09-21 00:00:00
"Common Childhood Illnesses: Diagnosis And Treatment","Films for the Humanities ...",,"Discontinued","2.0","4:3",99.95,"NR","UNK","Special Interest","1.33:1","9786312321477",2008-07-29 00:00:00,208135,2011-06-04 00:00:00
"Common Chord","CMD Distribution",,"Out","2.0","LBX, 16:9",19.98,"NR","2013","Family","1.78:1","859527005025",2015-04-28 00:00:00,275698,2015-05-04 00:00:00
"Common Core Grade 3 Classroom Kit (Book w/ DVD/CD-ROM Combo)","Scholastic",,"Out","2.0","4:3",370.91,"NR","2013","Special Interest","1.33:1","9780545661966",2013-08-15 00:00:00,260617,2014-03-03 00:00:00
"Common Denominators","York Entertainment",,"Discontinued","2.0","4:3",19.99,"NR","UNK","Drama","1.33:1","750723142524",2007-11-27 00:00:00,118778,2010-12-09 00:00:00
"Common Diseases Of The Belly","Beauty Media",,"Discontinued","SUB","4:3",19.99,"NR","UNK","Special Interest","1.33:1","6937475387043",2007-07-14 00:00:00,146230,2010-12-07 00:00:00
"Common Diseases Of The Knee Joint","Beauty Media",,"Discontinued","SUB","4:3",19.99,"NR","UNK","Special Interest","1.33:1","6937475390784",2007-07-14 00:00:00,146264,2010-12-07 00:00:00
"Common Errors, Part 2: Acceptable Errors","Films for the Humanities ...",,"Discontinued","2.0","4:3",99.95,"NR","UNK","Special Interest","1.33:1","9780736556910",2007-04-10 00:00:00,207787,2011-06-04 00:00:00
"Common Expressions In American Sign Language, Vol. 1","Everyday ASL",,"Discontinued","2.0","4:3",19.95,"NR","UNK","Special Interest","1.33:1","883629197258",2010-07-13 00:00:00,185948,2013-07-27 00:00:00
